lol ;)	laugh out loud laugh out loud	2	-1	 lol[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Looks like a typo here:http://github.com/mongodb/mongo/commit/2b7eb102159a36129222afa1883ea3b15145e08b#L0R40See &7 instead of &&	Looks like a typo here:http://github.<br>com/mongodb/mongo/commit/2b7eb102159a3612922afa1883ea3b15145e08b#L0R40See &7 instead of &&	2	-1	 Looks[0] like[1] a[0] typo[0] here[0] http[0] ://github[0] [[Sentence=-1,2=word max, 1-5]] com/mongodb/mongo/commit/2b7eb102159a36129222afa1883ea3b15145e08b#L0R40See/com/mongodb/mongo/commit/2b7eb102159a3612922afa1883ea3b15145e08b#L0R40See[0] &7[0] instead[0] of[0] &&[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
Bravo :)	Bravo Bravo	2	-1	 Bravo[0][+1 Emoticon] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Good to see I'm not the only one improving error messages!	Good to see I'm not the only one improving error messages!	2	-2	 Good[1] to[0] see[0] I'm[0] not[0] the[0] only[0] one[0] improving[1] error[-1] messages[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
Is it necessarily a good idea to have class diagrams in the visual studio projects? These projects will always be an afterthought (and rightly so) to the scons project.	Is it necessarily a good idea to have class diagrams in the visual studio projects?<br> These projects will always be an afterthought (and rightly so) to the scons project.	2	-1	 Is[0] it[0] necessarily[0] a[0] good[1] idea[0] to[0] have[0] class[0] diagrams[0] in[0] the[0] visual[0] studio[0] projects[0] [[Sentence=-1,2=word max, 1-5]] These[0] projects[0] will[0] always[0] be[0] an[0] afterthought[0] and[0] rightly[0] so[0] to[0] the[0] scons[0] project[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
that's an accident.will remove.	that's an accident.<br>will remove.	1	-2	 that's[0] an[0] accident[-1] [[Sentence=-2,1=word max, 1-5]] will[0] remove[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
Confirmed that actually worked.	Confirmed that actually worked.	1	-1	 Confirmed[0] that[0] actually[0] worked[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Shouldn't the constant MaxBSONObjectSize be used instead? In case one wants to customize the size.	Shouldn't the constant MaxBSONObjectSize be used instead?<br> In case one wants to customize the size.	1	-1	 Shouldn't[0] the[0] constant[0] MaxBSONObjectSize[0] be[0] used[0] instead[0] [[Sentence=-1,1=word max, 1-5]] In[0] case[0] one[0] wants[0] to[0] customize[0] the[0] size[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stoll() doesn't exist in Visual Studio 2008. I'm installing the windows 7 SDK to see if that will rectify it, but perhaps even being dirty and calling atol() would be better than causing build problems.	stoll( doesn't exist in Visual Studio 2008.<br> I'm installing the windows 7 SDK to see if that will rectify it, but perhaps even being dirty and calling atol( would be better than causing build problems.	1	-2	 stoll[0] doesn't[0] exist[0] in[0] Visual[0] Studio[0] 2008[0] [[Sentence=-1,1=word max, 1-5]] I'm[0] installing[0] the[0] windows[0] 7[0] SDK[0] to[0] see[0] if[0] that[0] will[0] rectify[0] it[0] but[0] perhaps[0] even[0] being[0] dirty[-1] and[0] calling[0] atol[0] would[0] be[0] better[0] than[0] causing[0] build[0] problems[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
The older, more conservative function is _strtoi64()Fix in http://github.com/zippy1981/mongo/commit/f7b7c07e2a72011b8dbd72d10dcbaa22d8e5fb54Stackoverflow discussion is in http://stackoverflow.com/questions/3106026/is-there-a-stoll-stroll-string-to-long-long-alternative-in-visual-studio-20/3106060#3106060	The older, more conservative function is _strtoi64(Fix in http://github.<br>com/zippy1981/mongo/commit/f7b7c07e2a72011b8dbd72d10dcba22d8e5fb54Stackoverflow discussion is in http://stackoverflow.<br>com/questions/3106026/is-there-a-stoll-stroll-string-to-long-long-alternative-in-visual-studio-20/3106060#3106060	1	-1	 The[0] older[0] more[0] conservative[0] function[0] is[0] _strtoi64[0] Fix[0] in[0] http[0] ://github[0] [[Sentence=-1,1=word max, 1-5]] com/zippy1981/mongo/commit/f7b7c07e2a72011b8dbd72d10dcbaa22d8e5fb54Stackoverflow/com/zippy1981/mongo/commit/f7b7c07e2a72011b8dbd72d10dcba22d8e5fb54Stackoverflow[0] discussion[0] is[0] in[0] http[0] ://stackoverflow[0] [[Sentence=-1,1=word max, 1-5]] com/questions/3106026/is[0] there[0] a[0] stoll[0] stroll[0] string[0] to[0] long[0] long[0] alternative[0] in[0] visual[0] studio[0] -20/3106060#3106060[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Test code I used for this.: pre #include  stdio.h #include  stdlib.h #include  string namespace mongo {inline void uasserted(int msgid , char* msg) { printf("Msg: %s", msg); exit(4); }/* "user assert".if asserts, user did something wrong, not our code */#define MONGO_uassert(msgid, msg, expr) (void)( (!!(expr))    (mongo::uasserted(msgid, msg), 0) )#define uassert MONGO_uassertinline long long parseLL( const char *n );// expect that n contains a base ten number and nothing else after it// NOTE win version hasn't been tested directlyinline long long parseLL( const char *n ) {long long ret;uassert( 13307, "cannot convert empty string to long long", *n !  0 );#if !defined(_WIN32)char *endPtr   0;errno   0;ret   strtoll( n, &endPtr, 10 );uassert( 13305, "could not convert string to long long", *endPtr    0 && errno    0 );#else#if _MSC_VER  1600size_t endLen   0;try {ret   std::stoll( n, &endLen, 10 );} catch ( ... ) {endLen   0;}uassert( 13306, "could not convert string to long long", endLen !  0 && n[ endLen ]    0 );#else // stoll() wasn't introduced into VS 2010.char* endPtr   (char *)&n[strlen(n) - 1];try {ret   _strtoi64( n, &endPtr, 10 );} catch ( ... ) {endPtr   0;}uassert( 13310, "could not convert string to long long", *endPtr    0 );#endif // _MSC_VER    16#endif // !defined(_WIN32)return ret;}}void main () {//printf("_MSC_VER: %d\n", _MSC_VER);char szNumber[]   "999999999";printf("number '%s': %d\n\n", szNumber, mongo::parseLL(szNumber));char szNumberWhitespace[]   "999999999999";printf("number '%s': %d\n\n", szNumberWhitespace, mongo::parseLL(szNumberWhitespace));char szNumberBad[]   "99r9dd999999";printf("number '%s': %d\n\n", szNumberBad, mongo::parseLL(szNumberBad));} /pre 	Test code I used for this.<br> pre #include  stdio.<br>h #include  stdlib.<br>h #include  string namespace mongo {inline void uasserted(int msgid , char* msg) { printf(Msg: %s" msg) exit(4) }/* "user assert"<br>if asserts, user did something wrong, not our code */#define MONGO_uassert(msgid, msg, expr) (void) (<br>expr)    (mongo:uasserted(msgid, msg) 0) )#define uassert MONGO_uassertinline long long parseLL( const char *n );// expect that n contains a base ten number and nothing else after it// NOTE win version hasn't been tested directlyinline long long parseLL( const char *n ) {long long ret;uassert( 13307, "cannot convert empty string to long long" *n !<br>  0 );#if !<br>defined(_WIN32)char *endPtr   0;errno   0;ret   strtoll( n, &endPtr, 10 )uassert( 13305, "could not convert string to long long" *endPtr    0 && errno    0 );#else#if _MSC_VER  1600size_t endLen   0;try {ret   std:stoll( n, &endLen, 10 );} catch ( .<br> ) {endLen   0;}uassert( 13306, "could not convert string to long long" endLen !<br>  0 && n[ endLen ]    0 );#else // stoll( wasn't introduced into VS 2010.<br>char* endPtr   (char *)&n[strlen(n) - 1];try {ret   _strtoi64( n, &endPtr, 10 );} catch ( .<br> ) {endPtr   0;}uassert( 13310, "could not convert string to long long" *endPtr    0 );#endif // _MSC_VER    16#endif // !<br>defined(_WIN32)return ret;}}void main ( {//printf("_MSC_VER: %d\n" _MSC_VER)char szNumber[]   "99"printf(number '%s': %d\n\n" szNumber, mongo:parseLL(szNumber)char szNumberWhitespace[]   "99"printf(number '%s': %d\n\n" szNumberWhitespace, mongo:parseLL(szNumberWhitespace)char szNumberBad[]   "99r9dd99"printf(number '%s': %d\n\n" szNumberBad, mongo:parseLL(szNumberBad));} /pre	2	-3	 Test[0] code[0] I[0] used[0] for[0] this[0] [[Sentence=-1,1=word max, 1-5]] pre[0] #include[0] stdio[0] [[Sentence=-1,1=word max, 1-5]] h[0] #include[0] stdlib[0] [[Sentence=-1,1=word max, 1-5]] h[0] #include[0] string[0] namespace[0] mongo[0] {inline[0] void[-1] uasserted[0] int[0] msgid[0] char[0] msg[0] {[0] printf[0] Msg[0] %s[0] msg[0] exit[-1] (4[0] }/[0] user[0] assert[0] [[Sentence=-2,1=word max, 1-5]] if[0] asserts[0] user[0] did[0] something[0] wrong[-1] not[0] our[0] code[0] */#define[0] MONGO_uassert[0] msgid[0] msg[0] expr[0] void[-1][-0.6 EmphasisInPunctuation] [[Sentence=-3,1=word max, 1-5]] expr[0] mongo[0] uasserted[0] msgid[0] msg[0] 0[0] )#define[0] uassert[0] MONGO_uassertinline[0] long[0] long[0] parseLL[0] const[0] char[0] n[0] );//[0] expect[0] that[0] n[0] contains[0] a[0] base[0] ten[0] number[0] and[0] nothing[0] else[0] after[0] it//[0] NOTE[0] win[0] version[0] hasn't[0] been[0] tested[0] directlyinline[0] long[0] long[0] parseLL[0] const[0] char[0] n[0] {long[0] long[0] ret[0] uassert[0] 13307[0] cannot[0] convert[0] empty[0] string[0] to[0] long[0] long[0] n[0] [[Sentence=-1,1=word max, 1-5]] 0[0] );#if[0] [[Sentence=-1,1=word max, 1-5]] defined[0] (_WIN32[0] char[0] endPtr[0] 0[0] errno[0] 0[0] ret[0] strtoll[0] n[0] &endPtr[0] 10[0] uassert[0] 13305[0] could[0] not[0] convert[0] string[0] to[0] long[0] long[0] endPtr[0] 0[0] &&[0] errno[0] 0[0] );#else#if[0] _MSC_VER[0] 1600size_t[0] endLen[0] 0[0] try[0] {ret[0] std[0] stoll[0] n[0] &endLen[0] 10[0] );}[0] catch[0] [[Sentence=-1,1=word max, 1-5]] {endLen[0] 0[0] ;}uassert[0] 13306[0] could[0] not[0] convert[0] string[0] to[0] long[0] long[0] endLen[0] [[Sentence=-1,1=word max, 1-5]] 0[0] &&[0] n[[0] endLen[0] ][0] 0[0] );#else[0] //[0] stoll[0] wasn't[0] introduced[0] into[0] VS[0] 2010[0] [[Sentence=-1,1=word max, 1-5]] char[0] endPtr[0] char[0] *)&n[strlen[0] n[0] 1][0] try[0] {ret[0] _strtoi64[0] n[0] &endPtr[0] 10[0] );}[0] catch[0] [[Sentence=-1,1=word max, 1-5]] {endPtr[0] 0[0] ;}uassert[0] 13310[0] could[0] not[0] convert[0] string[0] to[0] long[0] long[0] endPtr[0] 0[0] );#endif[0] //[0] _MSC_VER[0] 16#endif[0] //[0] [[Sentence=-1,1=word max, 1-5]] defined[0] (_WIN32[0] return[0] ret[0] ;}}void[0] main[0] {//printf[0] ("_MSC_VER[0] %d\n[0] _MSC_VER[0] char[0] szNumber[][0] "999999999/"99[0][+0.6 MultipleLetters] printf[0] number[0] '%s'[0] %d\n\n[0] szNumber[0] mongo[0] parseLL[0] szNumber[0] char[0] szNumberWhitespace[][0] "999999999999/"99[0][+0.6 MultipleLetters] printf[0] number[0] '%s'[0] %d\n\n[0] szNumberWhitespace[0] mongo[0] parseLL[0] szNumberWhitespace[0] char[0] szNumberBad[][0] "99r9dd999999/"99r9dd99[0][+0.6 MultipleLetters] printf[0] number[0] '%s'[0] %d\n\n[0] szNumberBad[0] mongo[0] parseLL[0] szNumberBad[0] ));}[0] /pre[0] [[Sentence=-1,2=word max, 1-5]][[[2,-3 max of sentences]]]
Dwight,Shouldn't we also check the error cases?I'll confess I'm not running the unit tests on my machine. I'll start doing that.	Dwight,Shouldn't we also check the error cases?<br>I'll confess I'm not running the unit tests on my machine.<br> I'll start doing that.	1	-2	 Dwight[0] Shouldn't[0] we[0] also[0] check[0] the[0] error[-1] cases[0] [[Sentence=-2,1=word max, 1-5]] I'll[0] confess[-1] I'm[0] not[0] running[0] the[0] unit[0] tests[0] on[0] my[0] machine[0] [[Sentence=-2,1=word max, 1-5]] I'll[0] start[0] doing[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
sure.UnitTest is something that runs at every server startup.so they must very light and fast."real" tests should go in dbtests / test binary (or jstests if applicable)running tests v good idea.see "smoke" page on wiki	sure.<br>UnitTest is something that runs at every server startup.<br>so they must very light and fast.<br>real" tests should go in dbtests / test binary (or jstests if applicable)running tests v good idea.<br>see "smoke" page on wiki	2	-1	 sure[0] [[Sentence=-1,1=word max, 1-5]] UnitTest[0] is[0] something[0] that[0] runs[0] at[0] every[0] server[0] startup[0] [[Sentence=-1,1=word max, 1-5]] so[0] they[0] must[0] very[0] light[0] and[0] fast[0] [[Sentence=-1,1=word max, 1-5]] real[0] tests[0] should[0] go[0] in[0] dbtests[0] /[0] test[0] binary[0] or[0] jstests[0] if[0] applicable[0] running[0] tests[0] v[0] good[1] idea[0] [[Sentence=-1,2=word max, 1-5]] see[0] smoke[0] page[0] on[0] wiki[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
The UTF-8 BOM, signifying nothing, and annoying the hell out of developers and users.	The UTF-8 BOM, signifying nothing, and annoying the hell out of developers and users.	1	-3	 The[0] UTF[0] -8[0] BOM[0] signifying[0] nothing[0] and[0] annoying[-2] the[0] hell[-1] out[0] of[0] developers[0] and[0] users[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
Was the near/far thing a 64 bit thing? I though the near/far dated back to win16 programming?Regardless, it compiles.	Was the near/far thing a 64 bit thing?<br> I though the near/far dated back to win16 programming?<br>Regardless, it compiles.	1	-2	 Was[0] the[0] near/far[0] thing[0] a[0] 64[0] bit[0] thing[0] [[Sentence=-1,1=word max, 1-5]] I[0] though[0] the[0] near/far[0] dated[0] back[0] to[0] win16[0] programming[0] [[Sentence=-1,1=word max, 1-5]] Regardless[-1] it[0] compiles[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
vs2008 vs vs2010 issue	vs2008 vs vs2010 issue	1	-1	 vs2008[0] vs[0] vs2010[0] issue[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
don't comment out the lines in the method, just comment out doTest() etc...makes it easer to test, etc...	don't comment out the lines in the method, just comment out doTest( etc.<br>makes it easer to test, etc.	1	-1	 don't[0] comment[0] out[0] the[0] lines[0] in[0] the[0] method[0] just[0] comment[0] out[0] doTest[0] etc[0] [[Sentence=-1,1=word max, 1-5]] makes[0] it[0] easer[0] to[0] test[0] etc[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Eliot, please roll this commit back. I found a bug with it. I didn't think you would include it until I made a pull request to you. Thanks, Tony	Eliot, please roll this commit back.<br> I found a bug with it.<br> I didn't think you would include it until I made a pull request to you.<br> Thanks, Tony	2	-2	 Eliot[0] please[1] roll[0] this[0] commit[0] back[0] [[Sentence=-1,2=word max, 1-5]] I[0] found[0] a[0] bug[-1] with[0] it[0] [[Sentence=-2,1=word max, 1-5]] I[0] didn't[0] think[0] you[0] would[0] include[0] it[0] until[0] I[0] made[0] a[0] pull[0] request[0] to[0] you[0] [[Sentence=-1,1=word max, 1-5]] Thanks[1] Tony[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
Wouldn't "-o -" be more inline with unix convention than "-o stdout"? Or is the problem boost parsing?Then again, part of me thinks default mongodump behavior should be to stdout, and there shoulld be a new switch for current default behavior.	Wouldn't "o - be more inline with unix convention than "o stdout"<br> Or is the problem boost parsing?<br>Then again, part of me thinks default mongodump behavior should be to stdout, and there should be a new switch for current default behavior.	1	-2	 Wouldn't[0] o[0] be[0] more[0] inline[0] with[0] unix[0] convention[0] than[0] o[0] stdout[0] [[Sentence=-1,1=word max, 1-5]] Or[0] is[0] the[0] problem[-1] boost[0] parsing[0] [[Sentence=-2,1=word max, 1-5]] Then[0] again[0] part[0] of[0] me[0] thinks[0] default[-1] mongodump[0] behavior[0] should[0] be[0] to[0] stdout[0] and[0] there[0] shoulld/should[0] be[0] a[0] new[0] switch[0] for[0] current[0] default[-1] behavior[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Double build break, double my bad. I'll have to start building on ubuntu to check these things.	Double build break, double my bad.<br> I'll have to start building on ubuntu to check these things.	1	-2	 Double[0] build[0] break[0] double[0] my[0] bad[-1] [[Sentence=-2,1=word max, 1-5]] I'll[0] have[0] to[0] start[0] building[0] on[0] ubuntu[0] to[0] check[0] these[0] things[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
