Body	Label	Score	Translation	Positive	Negative	EmotionRationale
this was just a test.	NEGATIVE	0.9926994442939758	this was just a test.	1	-1	 this[0] was[0] just[0] a[0] test[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
lol ;)	NEGATIVE	0.9810318350791931	laugh out loud laugh out loud	2	-1	 lol[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Looks like a typo here:http://github.com/mongodb/mongo/commit/2b7eb102159a36129222afa1883ea3b15145e08b#L0R40See &7 instead of &&	NEGATIVE	0.9976865649223328	Looks like a typo here:http://github.<br>com/mongodb/mongo/commit/2b7eb102159a3612922afa1883ea3b15145e08b#L0R40See &7 instead of &&	2	-1	 Looks[0] like[1] a[0] typo[0] here[0] http[0] ://github[0] [[Sentence=-1,2=word max, 1-5]] com/mongodb/mongo/commit/2b7eb102159a36129222afa1883ea3b15145e08b#L0R40See/com/mongodb/mongo/commit/2b7eb102159a3612922afa1883ea3b15145e08b#L0R40See[0] &7[0] instead[0] of[0] &&[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
Bravo :)	POSITIVE	0.9945923686027527	Bravo Bravo	2	-1	 Bravo[0][+1 Emoticon] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Good to see I'm not the only one improving error messages!	NEGATIVE	0.9841434359550476	Good to see I'm not the only one improving error messages!	2	-2	 Good[1] to[0] see[0] I'm[0] not[0] the[0] only[0] one[0] improving[1] error[-1] messages[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
Is it necessarily a good idea to have class diagrams in the visual studio projects? These projects will always be an afterthought (and rightly so) to the scons project.	NEGATIVE	0.9984163641929626	Is it necessarily a good idea to have class diagrams in the visual studio projects?<br> These projects will always be an afterthought (and rightly so) to the scons project.	2	-1	 Is[0] it[0] necessarily[0] a[0] good[1] idea[0] to[0] have[0] class[0] diagrams[0] in[0] the[0] visual[0] studio[0] projects[0] [[Sentence=-1,2=word max, 1-5]] These[0] projects[0] will[0] always[0] be[0] an[0] afterthought[0] and[0] rightly[0] so[0] to[0] the[0] scons[0] project[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
that's an accident.will remove.	NEGATIVE	0.9981513619422913	that's an accident.<br>will remove.	1	-2	 that's[0] an[0] accident[-1] [[Sentence=-2,1=word max, 1-5]] will[0] remove[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
Confirmed that actually worked.	POSITIVE	0.999515175819397	Confirmed that actually worked.	1	-1	 Confirmed[0] that[0] actually[0] worked[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Shouldn't the constant MaxBSONObjectSize be used instead? In case one wants to customize the size.	NEGATIVE	0.9992570877075195	Shouldn't the constant MaxBSONObjectSize be used instead?<br> In case one wants to customize the size.	1	-1	 Shouldn't[0] the[0] constant[0] MaxBSONObjectSize[0] be[0] used[0] instead[0] [[Sentence=-1,1=word max, 1-5]] In[0] case[0] one[0] wants[0] to[0] customize[0] the[0] size[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
stoll() doesn't exist in Visual Studio 2008. I'm installing the windows 7 SDK to see if that will rectify it, but perhaps even being dirty and calling atol() would be better than causing build problems.	NEGATIVE	0.9988746643066406	stoll( doesn't exist in Visual Studio 2008.<br> I'm installing the windows 7 SDK to see if that will rectify it, but perhaps even being dirty and calling atol( would be better than causing build problems.	1	-2	 stoll[0] doesn't[0] exist[0] in[0] Visual[0] Studio[0] 2008[0] [[Sentence=-1,1=word max, 1-5]] I'm[0] installing[0] the[0] windows[0] 7[0] SDK[0] to[0] see[0] if[0] that[0] will[0] rectify[0] it[0] but[0] perhaps[0] even[0] being[0] dirty[-1] and[0] calling[0] atol[0] would[0] be[0] better[0] than[0] causing[0] build[0] problems[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
