Body	Label	Score	Translation	Positive	Negative	EmotionRationale
This doesn't handle null values; now there is no distinction between null and the empty string. Try:client.query('SELECT NULL as field_a, NULL as field_b, "" AS field_c', function(err, results) {if (err) throw err;assert.strictEqual(results[0].field_a, null);assert.strictEqual(results[0].field_b, null);assert.strictEqual(results[0].field_c, '');client.end();});	NEGATIVE	0.9995813369750977	This doesn't handle null values; now there is no distinction between null and the empty string.<br> Try:client.<br>query('SELECT NULL as field_a, NULL as field_b, " AS field_c', function(er, results) {if (er) throw er;assert.<br>strictEqual(results[0].<br>field_a, null)assert.<br>strictEqual(results[0].<br>field_b, null)assert.<br>strictEqual(results[0].<br>field_c, '')client.<br>end();})	2	-2	 This[0] doesn't[0] handle[0] null[0] values[1] now[0] there[0] is[0] no[0] distinction[0] between[0] null[0] and[0] the[0] empty[0] string[0] [[Sentence=-1,2=word max, 1-5]] Try[0] client[0] [[Sentence=-1,1=word max, 1-5]] query[0] 'SELECT[0] NULL[0] as[0] field_a[0] NULL[0] as[0] field_b[0] AS[0] field_c'[0] function[0] err/er[0] results[0] {if[0] err/er[0] throw[0] err/er[0] assert[0] [[Sentence=-1,1=word max, 1-5]] strictEqual[-1] results[0][0] [[Sentence=-2,1=word max, 1-5]] field_a[0] null[0] assert[0] [[Sentence=-1,1=word max, 1-5]] strictEqual[-1] results[0][0] [[Sentence=-2,1=word max, 1-5]] field_b[0] null[0] assert[0] [[Sentence=-1,1=word max, 1-5]] strictEqual[-1] results[0][0] [[Sentence=-2,1=word max, 1-5]] field_c[0] ''[0] client[0] [[Sentence=-1,1=word max, 1-5]] end[0] ();}[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
Fixed in: 10e81c252e6a9f3d83e9d05a8e8f693a2756784c	NEGATIVE	0.9828786849975586	Fixed in: 10e81c252e6a9f3d83e9d05a8e8f693a2756784c	1	-1	 Fixed[0] in[0] 10e81c252e6a9f3d83e9d05a8e8f693a2756784c[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
Is there a specific reason why BLOB's aren't cast into buffers?	NEGATIVE	0.9988193511962891	Is there a specific reason why BLOB's aren't cast into buffers?	1	-1	 Is[0] there[0] a[0] specific[0] reason[0] why[0] BLOB's[0] aren't[0] cast[0] into[0] buffers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
My original patch contained support for casting blobs to buffers. Maybe there is a plan for implementing it differently? I dunno.	NEGATIVE	0.998972475528717	My original patch contained support for casting blobs to buffers.<br> Maybe there is a plan for implementing it differently?<br> I dunno.	2	-1	 My[0] original[0] patch[0] contained[0] support[1] for[0] casting[0] blobs[0] to[0] buffers[0] [[Sentence=-1,2=word max, 1-5]] Maybe[0] there[0] is[0] a[0] plan[0] for[0] implementing[0] it[0] differently[0] [[Sentence=-1,1=word max, 1-5]] I[0] dunno[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
Yeah, I didn't do that part yet because it is hard to do efficiently. I need to talk to ryan to see if we can do better than that, but otherwise yes - this is coming back in. If any of you guys needs it right now, ping me and I'll put the naive implementation back in.	NEGATIVE	0.9912592768669128	Yeah, I didn't do that part yet because it is hard to do efficiently.<br> I need to talk to ryan to see if we can do better than that, but otherwise yes - this is coming back in.<br> If any of you guys needs it right now, ping me and I'll put the naive implementation back in.	1	-2	 Yeah[0] I[0] didn't[0] do[0] that[0] part[0] yet[0] because[0] it[0] is[0] hard[0] to[0] do[0] efficiently[0] [[Sentence=-1,1=word max, 1-5]] I[0] need[0] to[0] talk[0] to[0] ryan[0] to[0] see[0] if[0] we[0] can[0] do[0] better[0] than[0] that[0] but[0] otherwise[0] yes[0] this[0] is[0] coming[0] back[0] in[0] [[Sentence=-1,1=word max, 1-5]] If[0] any[0] of[0] you[0] guys[0] needs[0] it[0] right[0] now[0] ping[0] me[0] and[0] I'll[0] put[0] the[0] naive[-1] implementation[0] back[0] in[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
Doesn't this create a memory problem for large result sets?	NEGATIVE	0.9993537664413452	Doesn't this create a memory problem for large result sets?	1	-2	 Doesn't[0] this[0] create[0] a[0] memory[0] problem[-1] for[0] large[0] result[0] sets[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
It's not a bug - it's a feature! I mean in a lot of cases it is very convenient to buffer all result rows, but it is entirely optional. If you don't pass a callback to the  .query()  function, no result set buffering takes place and you only get individual  'row'  events.But maybe I'm missing something and you're saying there is a memory leak here?	NEGATIVE	0.9988297820091248	It's not a bug - it's a feature!<br> I mean in a lot of cases it is very convenient to buffer all result rows, but it is entirely optional.<br> If you don't pass a callback to the  .<br>query(  function, no result set buffering takes place and you only get individual  'row'  events.<br>But maybe I'm missing something and you're saying there is a memory leak here?	2	-2	 It's[0] not[0] a[0] bug[-1][NegatedDueToPreviousWord] it's[0] a[0] feature[0] [[Sentence=-1,2=word max, 1-5]] I[0] mean[0] in[0] a[0] lot[0] of[0] cases[0] it[0] is[0] very[0] convenient[0] to[0] buffer[0] all[0] result[0] rows[0] but[0] it[0] is[0] entirely[0] optional[0] [[Sentence=-1,1=word max, 1-5]] If[0] you[0] don't[0] pass[0] a[0] callback[0] to[0] the[0] [[Sentence=-1,1=word max, 1-5]] query[0] function[0] no[0] result[0] set[0] buffering[0] takes[0] place[0] and[0] you[0] only[0] get[0] individual[0] 'row'[0] events[0] [[Sentence=-1,1=word max, 1-5]] But[0] maybe[0] I'm[0] missing[0] something[0] and[0] you're[0] saying[0] there[0] is[0] a[0] memory[0] leak[-1] here[0] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
I see. Did not see you always return the query object so one can handle the events themselves.Impressive work!	POSITIVE	0.9990652203559875	I see.<br> Did not see you always return the query object so one can handle the events themselves.<br>Impressive work!	2	-1	 I[0] see[0] [[Sentence=-1,1=word max, 1-5]] Did[0] not[0] see[0] you[0] always[0] return[0] the[0] query[0] object[0] so[0] one[0] can[0] handle[0] the[0] events[0] themselves[0] [[Sentence=-1,1=word max, 1-5]] Impressive[1] work[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
Thanks Malte! I'm using the same pattern in  formidable  (passing a callback causes buffering). It's certainly not obvious from a user perspective, so I think a little work needs to go into promoting this approach. I'll write a little blog post about it.In the future I would like to go even further and allow streaming the row values themselves, but that's even harder in terms of finding a nice API for it (most folks wouldn't want this behavior by default).	NEGATIVE	0.997711181640625	Thanks Malte!<br> I'm using the same pattern in  formidable  (passing a callback causes buffering)<br> It's certainly not obvious from a user perspective, so I think a little work needs to go into promoting this approach.<br> I'll write a little blog post about it.<br>In the future I would like to go even further and allow streaming the row values themselves, but that's even harder in terms of finding a nice API for it (most folks wouldn't want this behavior by default)	2	-2	 Thanks[1] Malte[0] [[Sentence=-1,2=word max, 1-5]] I'm[0] using[0] the[0] same[0] pattern[0] in[0] formidable[-1] passing[0] a[0] callback[0] causes[0] buffering[0] [[Sentence=-2,1=word max, 1-5]] It's[0] certainly[0] not[0] obvious[0] from[0] a[0] user[0] perspective[0] so[0] I[0] think[0] a[0] little[0] work[0] needs[0] to[0] go[0] into[0] promoting[0] this[0] approach[0] [[Sentence=-1,1=word max, 1-5]] I'll[0] write[0] a[0] little[0] blog[0] post[0] about[0] it[0] [[Sentence=-1,1=word max, 1-5]] In[0] the[0] future[0] I[0] would[0] like[1][-1 LastWordBoosterStrength] to[0] go[0] even[0] further[0] and[0] allow[0] streaming[0] the[0] row[0] values[1] themselves[0] but[0] that's[0] even[0] harder[0] in[0] terms[0] of[0] finding[0] a[0] nice[1] API[0] for[0] it[0] most[0] folks[0] wouldn't[0] want[0] this[0] behavior[0] by[0] default[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
Hmm, maybe if one is coming from an ActiveRecord like background. When working with cursors, receiving a callback per row feels natural. Then again this can always be handled on the level above as long as the raw API is exposed.	NEGATIVE	0.5770212411880493	Hm, maybe if one is coming from an ActiveRecord like background.<br> When working with cursors, receiving a callback per row feels natural.<br> Then again this can always be handled on the level above as long as the raw API is exposed.	2	-2	 Hmm/Hm[0] maybe[0] if[0] one[0] is[0] coming[0] from[0] an[0] ActiveRecord[0] like[1] background[0] [[Sentence=-1,2=word max, 1-5]] When[0] working[0] with[0] cursors[0] receiving[0] a[0] callback[0] per[0] row[0] feels[0] natural[0] [[Sentence=-1,1=word max, 1-5]] Then[0] again[0] this[0] can[0] always[0] be[0] handled[0] on[0] the[0] level[0] above[0] as[0] long[0] as[0] the[0] raw[0] API[0] is[0] exposed[-1] [[Sentence=-2,1=word max, 1-5]][[[2,-2 max of sentences]]]
